受访者编号,z_外向社交,z_尽责自律,z_情绪稳定,z_开放好奇,z_宜人友善,舞曲,民谣,乡村,古典,音乐剧,流行,摇滚,金属/硬摇,朋克,嘻哈/说唱,雷鬼,爵士,摇滚乐,另类,拉丁,电音,歌剧
23,-0.0462,-1.2786,-0.535,0.0282,-0.5911,4.0,2.0,2.0,2.0,4.0,4.0,5.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0,4.0,1.0,1.0
24,0.8396,0.6759,-1.6614,1.8925,1.2478,3.0,1.0,1.0,4.0,3.0,3.0,5.0,5.0,5.0,1.0,1.0,1.0,2.0,3.0,2.0,3.0,4.0
25,0.2491,0.1175,-0.535,-0.5044,-0.5911,4.0,2.0,1.0,2.0,3.0,5.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,4.0,2.0,1.0
26,-0.0462,1.2344,-0.535,-0.2381,1.2478,5.0,5.0,4.0,5.0,3.0,4.0,4.0,3.0,2.0,2.0,1.0,3.0,5.0,3.0,5.0,2.0,2.0
27,-0.932,0.3967,0.5913,-1.0371,0.3283,3.0,4.0,1.0,3.0,2.0,2.0,4.0,2.0,4.0,2.0,4.0,2.0,3.0,4.0,3.0,4.0,2.0
28,1.4302,0.1175,1.4361,-1.5697,0.3283,5.0,1.0,1.0,1.0,1.0,3.0,4.0,1.0,3.0,5.0,2.0,1.0,4.0,3.0,2.0,3.0,1.0
29,1.1349,0.3967,-1.0982,1.3598,1.2478,3.0,4.0,2.0,3.0,3.0,3.0,4.0,1.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,2.0
30,-0.3415,-0.7202,0.5913,0.2945,-0.2846,4.0,3.0,3.0,3.0,3.0,4.0,4.0,2.0,2.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0
31,0.2491,0.3967,0.0282,0.5609,0.6348,4.0,1.0,3.0,2.0,3.0,5.0,3.0,1.0,1.0,3.0,3.0,2.0,1.0,1.0,5.0,1.0,2.0
32,0.8396,-2.6747,1.7177,0.5609,0.0218,3.0,1.0,3.0,2.0,3.0,3.0,4.0,3.0,4.0,4.0,2.0,2.0,4.0,4.0,2.0,3.0,1.0
33,0.8396,0.9551,0.0282,1.3598,0.9413,2.0,2.0,3.0,4.0,5.0,4.0,3.0,1.0,1.0,1.0,3.0,4.0,4.0,3.0,2.0,1.0,5.0
34,0.8396,1.2344,1.9993,1.3598,-1.2041,3.0,2.0,1.0,3.0,4.0,4.0,5.0,3.0,4.0,2.0,3.0,3.0,4.0,4.0,2.0,1.0,1.0
35,0.5443,-0.7202,0.8729,-0.2381,0.6348,3.0,3.0,1.0,4.0,5.0,5.0,3.0,1.0,1.0,4.0,3.0,1.0,3.0,3.0,5.0,1.0,1.0
36,-1.5225,1.2344,0.0282,1.3598,1.5543,1.0,3.0,2.0,3.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0
37,-1.2273,0.3967,0.5913,-0.2381,1.2478,1.0,1.0,1.0,5.0,1.0,2.0,3.0,5.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0
38,-0.932,-0.7202,0.0282,1.3598,0.6348,5.0,3.0,1.0,5.0,2.0,5.0,4.0,1.0,2.0,4.0,5.0,2.0,2.0,1.0,3.0,4.0,4.0
39,-1.2273,1.2344,-1.943,-1.3034,-0.8976,3.0,3.0,2.0,2.0,3.0,5.0,5.0,4.0,4.0,1.0,2.0,1.0,5.0,2.0,1.0,2.0,2.0
40,-2.1131,-0.1617,-0.535,-1.836,0.0218,4.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0
41,0.5443,-0.9994,1.4361,0.0282,-2.7366,5.0,5.0,5.0,5.0,1.0,1.0,4.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0
42,-0.932,1.5136,1.4361,0.8272,1.5543,2.0,2.0,2.0,3.0,4.0,5.0,5.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,1.0
43,0.8396,1.5136,-0.2534,1.0935,0.0218,3.0,1.0,1.0,2.0,2.0,5.0,4.0,1.0,2.0,3.0,2.0,2.0,2.0,4.0,3.0,3.0,1.0
44,0.8396,1.2344,-1.0982,1.0935,1.8608,4.0,2.0,1.0,3.0,3.0,4.0,4.0,1.0,1.0,3.0,1.0,3.0,3.0,4.0,5.0,4.0,3.0
45,0.5443,2.3512,-0.535,0.0282,-1.2041,5.0,2.0,2.0,4.0,3.0,5.0,4.0,1.0,2.0,3.0,3.0,3.0,5.0,1.0,4.0,3.0,4.0
46,1.1349,0.3967,1.1545,1.3598,0.3283,4.0,3.0,4.0,1.0,5.0,5.0,5.0,3.0,2.0,5.0,2.0,3.0,5.0,4.0,5.0,2.0,2.0
47,-0.3415,0.3967,0.0282,0.0282,-1.2041,3.0,1.0,1.0,2.0,3.0,4.0,4.0,2.0,2.0,1.0,3.0,3.0,3.0,4.0,3.0,2.0,3.0
48,0.5443,2.072,0.0282,0.0282,0.3283,3.0,1.0,1.0,1.0,4.0,3.0,2.0,1.0,2.0,5.0,5.0,2.0,2.0,2.0,4.0,2.0,1.0
49,-0.6367,-0.4409,-0.2534,-0.2381,-0.5911,2.0,1.0,2.0,2.0,2.0,3.0,5.0,3.0,5.0,3.0,2.0,2.0,4.0,2.0,1.0,2.0,1.0
50,-1.2273,-1.2786,-0.8166,0.8272,-0.2846,2.0,4.0,2.0,5.0,5.0,5.0,5.0,2.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,1.0,2.0
51,0.8396,1.7928,0.0282,0.8272,0.6348,3.0,3.0,1.0,4.0,3.0,5.0,4.0,3.0,2.0,2.0,4.0,4.0,4.0,3.0,5.0,3.0,2.0
52,1.1349,0.1175,0.0282,1.3598,0.6348,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,2.0,5.0,5.0,5.0,5.0,2.0,5.0,2.0,5.0
53,2.316,0.3967,1.1545,1.0935,0.6348,4.0,4.0,3.0,4.0,5.0,4.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,5.0,2.0,5.0
54,2.0207,0.3967,1.1545,1.0935,1.2478,5.0,5.0,3.0,5.0,5.0,5.0,5.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,5.0,4.0,5.0
55,-0.6367,0.9551,-1.0982,1.0935,0.3283,4.0,2.0,2.0,4.0,3.0,4.0,3.0,3.0,2.0,4.0,3.0,3.0,4.0,4.0,4.0,5.0,3.0
56,0.2491,0.6759,-0.8166,1.6262,1.5543,1.0,2.0,3.0,4.0,3.0,4.0,5.0,1.0,4.0,2.0,3.0,4.0,5.0,5.0,1.0,1.0,4.0
57,-0.6367,0.1175,-0.8166,1.3598,0.6348,3.0,3.0,2.0,3.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,4.0,5.0,5.0,1.0,1.0,2.0
58,-0.6367,0.9551,-1.0982,-0.7708,0.0218,5.0,3.0,2.0,3.0,2.0,5.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,3.0,1.0
59,-1.8178,1.5136,0.3097,0.2945,-2.1236,2.0,1.0,2.0,3.0,1.0,3.0,4.0,3.0,5.0,3.0,3.0,4.0,5.0,5.0,1.0,4.0,3.0
60,-0.932,0.3967,-0.535,1.8925,0.3283,2.0,2.0,2.0,4.0,4.0,4.0,4.0,1.0,3.0,2.0,3.0,3.0,4.0,4.0,2.0,1.0,3.0
61,-0.6367,0.1175,-1.0982,-0.7708,0.6348,5.0,1.0,2.0,4.0,3.0,4.0,4.0,1.0,2.0,3.0,2.0,3.0,3.0,3.0,4.0,4.0,3.0
62,0.5443,1.5136,2.2809,0.2945,0.0218,5.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0
63,-0.0462,0.3967,1.4361,-0.5044,-0.8976,3.0,1.0,3.0,2.0,1.0,2.0,3.0,1.0,2.0,5.0,4.0,3.0,3.0,1.0,3.0,5.0,1.0
64,0.5443,-1.5578,-0.535,-0.2381,0.3283,3.0,1.0,1.0,1.0,4.0,4.0,5.0,1.0,3.0,2.0,1.0,2.0,2.0,1.0,3.0,2.0,2.0
65,-0.932,-0.4409,0.3097,-1.836,-1.2041,3.0,1.0,2.0,2.0,1.0,3.0,3.0,3.0,2.0,4.0,2.0,2.0,2.0,1.0,2.0,4.0,2.0
66,-0.6367,0.3967,0.5913,-1.3034,-1.8171,4.0,2.0,2.0,2.0,4.0,5.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,4.0,5.0,1.0
67,1.1349,1.5136,0.5913,-0.5044,0.0218,4.0,3.0,2.0,2.0,4.0,5.0,1.0,1.0,1.0,4.0,3.0,4.0,4.0,1.0,5.0,1.0,1.0
68,-1.2273,0.1175,-1.0982,-0.5044,-1.2041,3.0,2.0,1.0,2.0,4.0,3.0,5.0,5.0,5.0,1.0,5.0,4.0,4.0,3.0,2.0,4.0,2.0
69,0.8396,-0.1617,-0.8166,-0.5044,0.3283,1.0,1.0,1.0,1.0,4.0,5.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,1.0,2.0
70,0.2491,0.3967,0.0282,-1.3034,-0.5911,5.0,2.0,2.0,2.0,3.0,5.0,3.0,1.0,1.0,5.0,2.0,3.0,1.0,1.0,2.0,3.0,1.0
71,-0.0462,0.1175,0.8729,-1.3034,0.0218,2.0,3.0,1.0,4.0,1.0,4.0,1.0,1.0,1.0,4.0,4.0,1.0,2.0,3.0,1.0,3.0,1.0
72,1.1349,-0.4409,-1.0982,-1.836,0.9413,2.0,2.0,2.0,2.0,5.0,5.0,5.0,2.0,4.0,4.0,2.0,2.0,3.0,3.0,5.0,1.0,1.0
73,0.8396,0.3967,0.3097,0.2945,-0.2846,3.0,2.0,2.0,2.0,1.0,5.0,2.0,1.0,2.0,5.0,2.0,2.0,2.0,2.0,4.0,3.0,1.0
74,-1.8178,1.5136,0.3097,-0.5044,-0.8976,2.0,1.0,4.0,5.0,3.0,2.0,1.0,1.0,1.0,5.0,4.0,1.0,1.0,1.0,1.0,2.0,4.0
75,0.2491,0.6759,0.8729,1.3598,0.3283,3.0,4.0,4.0,3.0,1.0,1.0,5.0,4.0,4.0,3.0,5.0,4.0,5.0,4.0,4.0,1.0,2.0
76,0.8396,1.2344,0.0282,-0.7708,-0.2846,4.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0
77,1.4302,-0.9994,0.8729,0.8272,0.6348,5.0,1.0,2.0,2.0,2.0,5.0,4.0,2.0,1.0,4.0,2.0,2.0,2.0,2.0,5.0,5.0,1.0
78,0.5443,0.6759,0.3097,2.4251,1.8608,4.0,2.0,4.0,1.0,5.0,5.0,3.0,1.0,1.0,4.0,5.0,5.0,5.0,3.0,5.0,4.0,2.0
79,-0.3415,-1.837,0.0282,-0.2381,-0.2846,4.0,4.0,4.0,3.0,4.0,5.0,5.0,2.0,2.0,5.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0
80,1.1349,-1.5578,0.0282,-0.5044,1.2478,4.0,2.0,2.0,2.0,3.0,4.0,5.0,2.0,3.0,4.0,4.0,3.0,4.0,2.0,5.0,3.0,2.0
81,2.0207,0.9551,1.1545,0.0282,0.3283,4.0,1.0,2.0,3.0,3.0,5.0,4.0,2.0,3.0,4.0,4.0,3.0,4.0,3.0,5.0,3.0,3.0
82,-2.4083,-2.1162,-1.0982,1.3598,-0.5911,1.0,3.0,1.0,3.0,2.0,1.0,5.0,5.0,4.0,1.0,1.0,2.0,2.0,5.0,1.0,1.0,3.0
83,0.5443,0.3967,-1.0982,-0.5044,1.8608,5.0,1.0,2.0,4.0,4.0,5.0,5.0,3.0,1.0,3.0,2.0,4.0,3.0,1.0,5.0,5.0,3.0
84,0.8396,0.9551,0.0282,1.6262,0.3283,1.0,1.0,4.0,5.0,5.0,1.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,3.0,1.0,5.0
85,-0.932,-0.4409,0.0282,0.5609,0.6348,3.0,3.0,5.0,5.0,3.0,3.0,4.0,4.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0,4.0,3.0
86,0.5443,-0.4409,1.1545,2.1588,-0.2846,4.0,3.0,3.0,3.0,2.0,4.0,5.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0
87,1.1349,1.2344,0.5913,0.2945,0.3283,4.0,1.0,2.0,2.0,4.0,4.0,5.0,2.0,4.0,3.0,5.0,3.0,4.0,4.0,5.0,2.0,1.0
88,-0.0462,0.1175,-1.6614,0.2945,1.2478,5.0,1.0,1.0,5.0,2.0,5.0,5.0,1.0,1.0,1.0,1.0,5.0,5.0,4.0,5.0,5.0,1.0
89,-0.932,0.6759,-1.6614,0.0282,0.9413,3.0,2.0,1.0,4.0,3.0,3.0,5.0,3.0,3.0,1.0,2.0,4.0,4.0,4.0,2.0,1.0,3.0
90,-0.3415,-1.5578,-0.535,-1.0371,-0.5911,3.0,2.0,1.0,3.0,4.0,3.0,4.0,1.0,3.0,1.0,3.0,1.0,2.0,3.0,1.0,1.0,1.0
91,1.7254,0.1175,-0.2534,-1.836,-1.2041,1.0,5.0,1.0,3.0,5.0,3.0,5.0,5.0,5.0,1.0,5.0,1.0,3.0,1.0,1.0,1.0,1.0
92,0.5443,-0.1617,0.0282,1.0935,0.3283,1.0,3.0,4.0,4.0,4.0,2.0,3.0,1.0,2.0,1.0,3.0,5.0,4.0,3.0,3.0,1.0,4.0
93,0.5443,-1.2786,1.7177,-0.5044,-2.1236,1.0,5.0,5.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,1.0,5.0,4.0,1.0,1.0,1.0,4.0
94,-0.932,-1.837,0.3097,-0.5044,-1.2041,5.0,1.0,1.0,1.0,2.0,4.0,3.0,1.0,3.0,5.0,2.0,1.0,3.0,3.0,1.0,4.0,1.0
95,-0.6367,-0.9994,0.3097,0.2945,0.6348,3.0,2.0,2.0,4.0,3.0,3.0,3.0,1.0,2.0,5.0,5.0,4.0,4.0,2.0,3.0,2.0,2.0
96,-0.6367,-0.1617,1.7177,-2.9013,-1.2041,1.0,1.0,1.0,1.0,1.0,2.0,4.0,5.0,4.0,3.0,1.0,1.0,1.0,4.0,1.0,4.0,1.0
97,-1.5225,-0.1617,0.0282,-0.5044,-0.8976,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,5.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0
98,-0.3415,-0.7202,-0.2534,0.2945,-0.5911,5.0,1.0,1.0,1.0,1.0,3.0,5.0,2.0,1.0,1.0,3.0,2.0,2.0,5.0,5.0,3.0,1.0
99,-0.3415,0.6759,-0.535,0.0282,0.6348,4.0,1.0,1.0,2.0,2.0,4.0,2.0,1.0,3.0,2.0,4.0,1.0,2.0,1.0,4.0,1.0,1.0
100,0.8396,0.9551,0.5913,-0.5044,0.9413,4.0,3.0,2.0,4.0,5.0,4.0,5.0,3.0,2.0,4.0,4.0,3.0,3.0,2.0,3.0,2.0,2.0
101,-0.3415,-1.837,-0.535,-0.7708,-0.2846,1.0,3.0,2.0,3.0,1.0,2.0,4.0,5.0,4.0,1.0,4.0,3.0,3.0,3.0,1.0,1.0,2.0
102,-0.0462,1.2344,-0.2534,1.3598,0.3283,1.0,2.0,3.0,5.0,4.0,1.0,5.0,2.0,5.0,1.0,4.0,5.0,5.0,5.0,2.0,1.0,4.0
103,0.8396,-0.1617,1.1545,1.3598,-2.1236,5.0,2.0,2.0,3.0,4.0,5.0,1.0,1.0,1.0,5.0,5.0,4.0,3.0,2.0,5.0,4.0,4.0
104,-0.0462,1.2344,1.7177,0.0282,-0.5911,3.0,3.0,2.0,4.0,2.0,2.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,2.0
105,-1.2273,0.1175,1.7177,-0.7708,0.0218,1.0,3.0,1.0,3.0,2.0,2.0,4.0,5.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0
106,0.2491,1.2344,-0.535,0.2945,1.2478,4.0,4.0,5.0,5.0,3.0,4.0,5.0,1.0,2.0,4.0,4.0,4.0,5.0,3.0,5.0,3.0,4.0
107,0.2491,-0.1617,-0.535,-0.2381,-0.2846,1.0,1.0,1.0,2.0,2.0,2.0,4.0,4.0,1.0,1.0,3.0,4.0,2.0,4.0,2.0,1.0,2.0
108,-2.7036,0.3967,-1.6614,-1.0371,0.0218,2.0,2.0,1.0,4.0,1.0,2.0,4.0,4.0,3.0,2.0,1.0,1.0,2.0,3.0,2.0,2.0,3.0
109,-1.5225,-2.3955,-0.2534,-0.7708,-0.2846,2.0,2.0,4.0,4.0,2.0,3.0,5.0,5.0,3.0,2.0,2.0,2.0,3.0,1.0,3.0,1.0,4.0
110,-0.3415,-0.9994,0.3097,-0.5044,0.0218,4.0,5.0,2.0,3.0,1.0,4.0,4.0,1.0,1.0,1.0,4.0,5.0,4.0,4.0,4.0,4.0,1.0
111,-0.0462,-1.837,-2.5062,1.6262,0.6348,4.0,3.0,2.0,5.0,3.0,3.0,4.0,2.0,2.0,3.0,3.0,4.0,4.0,5.0,2.0,4.0,4.0
112,0.2491,1.5136,-0.8166,1.3598,0.0218,4.0,2.0,2.0,4.0,3.0,3.0,3.0,2.0,2.0,1.0,3.0,4.0,2.0,3.0,5.0,4.0,1.0
113,-0.3415,0.1175,0.0282,-2.1024,-0.8976,4.0,2.0,3.0,1.0,2.0,4.0,4.0,2.0,1.0,3.0,1.0,1.0,2.0,2.0,2.0,5.0,1.0
114,0.2491,1.2344,0.5913,1.6262,-0.5911,2.0,1.0,1.0,3.0,4.0,4.0,4.0,1.0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,4.0
115,0.2491,0.3967,-0.535,1.3598,0.0218,5.0,2.0,2.0,5.0,4.0,5.0,5.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,5.0,3.0,2.0
116,-2.4083,-0.7202,-1.0982,0.0282,0.9413,2.0,2.0,2.0,2.0,1.0,3.0,5.0,1.0,2.0,1.0,1.0,2.0,4.0,5.0,2.0,1.0,1.0
117,-2.7036,-0.4409,-1.3798,-1.836,0.6348,2.0,2.0,1.0,1.0,3.0,5.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0
118,-0.932,1.2344,0.3097,0.0282,0.0218,1.0,2.0,2.0,4.0,1.0,3.0,4.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,2.0,1.0,1.0
119,-1.2273,0.6759,-0.535,-1.0371,0.0218,4.0,2.0,1.0,3.0,2.0,4.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0
120,-0.3415,0.6759,2.2809,0.5609,-2.7366,4.0,1.0,2.0,4.0,4.0,2.0,5.0,5.0,2.0,1.0,3.0,5.0,5.0,3.0,4.0,3.0,2.0
121,-0.0462,0.1175,1.1545,-1.3034,-0.2846,2.0,3.0,4.0,2.0,1.0,4.0,4.0,2.0,2.0,4.0,2.0,2.0,4.0,1.0,1.0,3.0,1.0
122,-0.3415,1.2344,0.0282,0.0282,0.9413,3.0,2.0,2.0,5.0,3.0,1.0,5.0,2.0,4.0,1.0,3.0,4.0,4.0,5.0,3.0,1.0,3.0
123,-1.2273,-0.1617,-0.535,0.0282,-0.2846,3.0,3.0,3.0,3.0,4.0,3.0,5.0,3.0,1.0,3.0,1.0,5.0,5.0,3.0,3.0,1.0,3.0
124,-0.3415,-0.1617,1.9993,1.6262,0.0218,1.0,4.0,2.0,5.0,5.0,3.0,5.0,3.0,3.0,1.0,2.0,4.0,5.0,2.0,3.0,1.0,3.0
125,1.1349,0.1175,-0.535,1.0935,1.8608,3.0,3.0,2.0,3.0,2.0,2.0,4.0,3.0,3.0,2.0,4.0,5.0,3.0,4.0,3.0,2.0,2.0
126,-0.6367,1.5136,-1.3798,-0.2381,0.3283,4.0,1.0,1.0,3.0,1.0,4.0,4.0,1.0,4.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
127,-0.6367,-1.2786,-0.2534,0.8272,0.0218,3.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,2.0,3.0,3.0
128,0.5443,-0.4409,-2.5062,2.4251,0.6348,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,2.0,3.0,1.0,5.0,5.0,5.0,5.0,2.0
129,0.2491,-0.1617,-0.8166,-0.2381,0.6348,5.0,3.0,1.0,2.0,2.0,4.0,5.0,2.0,2.0,2.0,3.0,4.0,3.0,4.0,3.0,1.0,1.0
130,0.5443,0.9551,-0.2534,1.0935,0.3283,2.0,1.0,1.0,4.0,2.0,2.0,5.0,3.0,3.0,1.0,2.0,2.0,3.0,1.0,3.0,3.0,2.0
131,0.2491,-0.9994,1.1545,-0.7708,0.0218,3.0,1.0,1.0,2.0,2.0,4.0,2.0,1.0,2.0,5.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0
132,-1.8178,1.2344,-1.0982,0.8272,-0.5911,3.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,5.0,2.0,4.0,3.0,2.0,2.0,2.0,1.0,1.0
133,-0.0462,1.7928,-0.535,0.0282,0.9413,2.0,4.0,1.0,4.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,5.0,1.0,1.0,3.0,1.0,3.0
134,-1.5225,1.2344,-2.5062,0.0282,0.0218,4.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0
135,-1.2273,-0.7202,0.0282,1.0935,0.6348,2.0,1.0,3.0,5.0,1.0,3.0,5.0,4.0,4.0,3.0,5.0,4.0,4.0,5.0,1.0,1.0,3.0
136,0.5443,0.6759,-0.535,-0.5044,0.0218,4.0,3.0,2.0,3.0,2.0,4.0,3.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0
137,-1.8178,0.6759,-1.3798,0.5609,-0.5911,4.0,3.0,3.0,5.0,5.0,5.0,4.0,2.0,2.0,4.0,3.0,5.0,4.0,3.0,4.0,2.0,2.0
138,0.5443,-0.1617,0.8729,0.0282,-0.2846,2.0,3.0,3.0,4.0,5.0,2.0,1.0,1.0,1.0,3.0,3.0,4.0,4.0,2.0,3.0,1.0,2.0
139,1.1349,-0.9994,-1.0982,0.0282,-0.2846,5.0,3.0,2.0,3.0,3.0,5.0,4.0,1.0,2.0,5.0,3.0,4.0,4.0,1.0,2.0,3.0,2.0
140,-0.0462,0.9551,-0.2534,1.0935,0.9413,3.0,2.0,1.0,2.0,3.0,4.0,4.0,2.0,2.0,2.0,2.0,5.0,3.0,2.0,4.0,3.0,2.0
