标签,舞曲,民谣,乡村,古典,音乐剧,流行,摇滚,金属/硬摇,朋克,嘻哈/说唱,雷鬼,爵士,摇滚乐,另类,拉丁,电音,歌剧
运动健将,0.2237,-0.0305,0.0419,-0.1187,-0.0844,0.0062,-0.0394,0.0585,0.0705,0.4136,0.2118,-0.0011,0.0652,-0.0549,0.0547,0.2275,-0.0815
居家宅,-0.1274,-0.2145,-0.0821,-0.0436,-0.1694,0.0762,0.0855,0.0727,0.0679,-0.0475,-0.0358,-0.1248,-0.0795,-0.0216,-0.2331,0.05,-0.0989
购物达人,0.2269,-0.1099,-0.0985,-0.136,0.0944,0.2525,-0.2075,-0.3555,-0.1758,0.242,-0.1062,-0.1425,-0.1454,-0.2181,0.1297,0.1342,-0.1008
注重外表,0.2695,-0.1577,-0.0992,-0.0506,0.0729,0.2709,-0.1751,-0.3104,-0.1819,0.3656,0.0434,0.0121,-0.0965,-0.1826,0.1682,0.1987,-0.0131
爱宠物,0.0819,0.0012,-0.0656,-0.0421,0.1337,0.1501,0.06,-0.0565,0.0826,0.0553,0.1586,-0.0575,0.0308,0.0015,0.1097,0.0764,0.0007
健康饮食,0.0548,0.011,-0.0513,0.1585,0.0761,0.0019,0.0286,0.0651,0.0289,0.1171,0.0144,0.0864,0.0426,0.0864,0.1471,0.1665,0.1896
精打细算,0.0602,0.059,0.1625,-0.0141,0.0069,0.1325,-0.0614,-0.1457,-0.0358,0.1212,0.1197,0.0303,-0.0092,-0.022,0.1212,0.08,0.0303
追星族,0.1934,-0.0087,-0.0903,-0.1513,0.1286,0.3527,-0.13,-0.2444,-0.1068,0.2399,-0.0242,-0.1001,-0.0524,-0.1638,0.1216,0.0601,-0.1187
工作狂,0.0099,0.1061,0.075,0.2072,0.2058,0.0631,0.0321,-0.0581,0.0566,-0.0063,0.0992,0.1977,0.1049,0.0294,0.2133,-0.0275,0.2059
数码控,0.1356,-0.2033,0.0418,-0.0589,-0.1288,0.0516,0.013,0.0247,0.0413,0.2444,0.0331,-0.016,-0.0102,-0.0626,-0.179,0.2876,-0.0775
文艺青年,-0.0818,0.2948,0.1541,0.5549,0.4777,-0.0665,0.1971,0.1057,0.1351,-0.199,0.0733,0.5267,0.3396,0.4584,0.2101,-0.1219,0.5468
科技极客,0.0625,0.1082,0.1835,0.3001,0.0491,-0.0806,0.1817,0.3674,0.2491,-0.0339,0.1476,0.1391,0.1788,0.1651,0.0151,0.2026,0.24
书虫,-0.1483,0.1509,0.0697,0.3754,0.3505,-0.106,0.1835,0.1396,0.1471,-0.256,0.0318,0.305,0.2355,0.2853,0.1675,-0.2658,0.3161
影视爱好者,-0.0204,0.158,0.1073,0.2866,0.0054,-0.1184,0.1506,0.0633,0.1196,-0.0851,0.147,0.2193,0.1605,0.1832,0.0403,0.0763,0.2045
历史政治迷,-0.1225,0.1384,0.1561,0.3681,0.0261,-0.1055,0.0756,0.1444,0.0932,-0.0094,0.1374,0.2362,0.1599,0.204,0.1036,-0.0217,0.2739
爱好自然,0.0213,0.3263,0.1839,0.3343,0.2824,-0.0228,0.0577,0.0837,0.0907,-0.1537,0.0402,0.1524,0.2172,0.1447,0.2778,0.0819,0.3748
恐怖片迷,0.0983,-0.0822,0.0605,-0.0527,-0.1133,0.0019,0.072,0.1862,0.1935,0.145,0.1107,-0.103,0.0457,0.0088,-0.1293,0.1354,-0.062
喜剧控,0.1638,-0.029,-0.0069,-0.128,0.029,0.1867,-0.0431,-0.1332,-0.0924,0.1803,0.0371,-0.0257,-0.0231,-0.1821,0.124,0.0853,-0.1226
浪漫主义,0.1494,0.1734,0.0713,0.0777,0.3826,0.2773,-0.0043,-0.2069,-0.0943,0.0294,0.0731,0.1299,0.1046,-0.0195,0.4251,-0.0445,0.0843
科幻迷,-0.0139,0.099,0.1495,0.2069,0.0668,-0.0178,0.1153,0.2708,0.2158,-0.0743,0.105,0.1322,0.1317,0.1629,-0.1703,0.198,0.197
动画爱好者,0.1714,0.116,0.0349,0.1469,0.2583,0.2296,0.1488,-0.0141,0.085,0.0219,0.1254,0.1146,0.0713,0.0359,0.2624,0.0458,0.0904
动作片迷,0.0762,0.0783,0.2907,0.0692,-0.163,-0.0598,0.0764,0.3191,0.2014,0.2077,0.2031,0.1328,0.2216,-0.0509,-0.0904,0.2499,0.1296
城市青年,-0.0468,-0.1029,-0.0609,-0.0155,-0.0268,-0.0176,-0.0011,0.0236,-0.0235,0.0132,-0.016,0.0276,-0.021,0.01,-0.0109,-0.0371,0.001
小镇青年,0.1112,0.2446,0.1448,0.0369,0.0637,0.0418,0.0025,-0.056,0.0559,-0.0313,0.0381,-0.0657,0.05,-0.0237,0.026,0.0881,-0.0025
独生子女,-0.0578,-0.0942,0.0032,-0.043,0.0447,0.007,-0.0114,-0.0218,-0.047,0.1639,-0.0154,0.0811,0.0523,-0.0305,0.0265,-0.0532,-0.1002
